species;year;month;lon;lat
Pelophylax saharicus;2020;3;-6,953336;30,831451
Pelophylax saharicus;1970;5;-6,05;35,03
Pelophylax saharicus;1969;11;-10,9;28,28
Pelophylax saharicus;1969;11;-10,9;28,28
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;2002;2;7,8795;33,8675
Pelophylax saharicus;1970;2;-6,87;30,87
Pelophylax saharicus;1969;9;-6,742667;34,004833
Pelophylax saharicus;2022;3;-8,824432;30,631067
Pelophylax saharicus;2019;7;6,715277;36,553012
Pelophylax saharicus;2019;1;-10,808224;28,008287
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2013;6;-7,733678;31,305303
Pelophylax saharicus;2018;3;-7,981565;31,68942
Pelophylax saharicus;2014;4;-9,587019;29,886476
Pelophylax saharicus;2019;4;-4,616873;32,810953
Pelophylax saharicus;2001;3;-5,583333;29,966667
Pelophylax saharicus;2004;4;-5,3169;33,5427
Pelophylax saharicus;2004;9;8,482633;35,58215
Pelophylax saharicus;2020;3;-5,208143;35,053641
Pelophylax saharicus;2016;7;6,682029;36,463945
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1970;2;-5,6;31,45
Pelophylax saharicus;1982;4;-5,2663;35,09908
Pelophylax saharicus;1970;2;-5,6;31,45
Pelophylax saharicus;1969;9;-13,206667;27,1395
Pelophylax saharicus;2015;11;-5,98453;31,032416
Pelophylax saharicus;2018;4;7,939825;34,320699
Pelophylax saharicus;2014;6;-6,73;32
Pelophylax saharicus;2011;7;-5,012226;34,034595
Pelophylax saharicus;2013;5;-7,531128;31,414216
Pelophylax saharicus;2014;4;9,68879;37,130543
Pelophylax saharicus;2014;6;-3,357772;32,91383
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2016;5;8,179837;36,846317
Pelophylax saharicus;2017;1;-6,846285;34,008038
Pelophylax saharicus;2016;3;-4,988025;31,72848
Pelophylax saharicus;2010;3;-5,966263;31,450781
Pelophylax saharicus;2020;9;-2,95774;35,309373
Pelophylax saharicus;1999;9;-7,2333;30,9
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1982;6;-5,81278;35,78472
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;2015;6;-8,002844;31,641258
Pelophylax saharicus;2019;3;-4,226143;31,429603
Pelophylax saharicus;2018;4;-9,016148;29,344698
Pelophylax saharicus;2018;3;-7,760324;33,544647
Pelophylax saharicus;2020;3;-6,94778;30,823591
Pelophylax saharicus;2008;9;9,384182;34,639528
Pelophylax saharicus;2014;4;-5,838861;30,321956
Pelophylax saharicus;2013;11;-6,198564;31,39592
Pelophylax saharicus;2021;9;-2,044465;34,488723
Pelophylax saharicus;2017;9;-5,940581;31,509423
Pelophylax saharicus;2019;5;6,478338;36,407587
Pelophylax saharicus;2006;3;9,38776;34,465942
Pelophylax saharicus;2018;11;-7,761721;33,54436
Pelophylax saharicus;2001;4;-3,5333;34,65
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1970;2;-6,87;30,87
Pelophylax saharicus;1978;7;-4,75;32,68333
Pelophylax saharicus;1969;11;-10,9;28,28
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;2021;2;-9,271464;30,597896
Pelophylax saharicus;2013;6;-7,733721;31,306642
Pelophylax saharicus;2003;5;-4,428498;31,927236
Pelophylax saharicus;2020;5;7,702299;36,521155
Pelophylax saharicus;2018;1;-7,763243;33,544433
Pelophylax saharicus;2015;4;-1,226099;32,104929
Pelophylax saharicus;2022;6;-1,900155;34,681962
Pelophylax saharicus;2012;3;-7,851716;31,208337
Pelophylax saharicus;2017;9;-4,290099;31,856715
Pelophylax saharicus;2019;7;-6,169824;31,342714
Pelophylax saharicus;2013;6;-7,858014;31,198706
Pelophylax saharicus;2017;6;-6,888944;31,358828
Pelophylax saharicus;2018;2;-7,761426;33,544121
Pelophylax saharicus;2007;12;7,9177;34,4052
Pelophylax saharicus;1984;4;-6,966667;32,55
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1982;6;-6,04028;35,46556
Pelophylax saharicus;1982;6;-6,04028;35,46556
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;9;-13,206667;27,1395
Pelophylax saharicus;2022;5;-3,78729;32,029327
Pelophylax saharicus;2013;8;-7,218425;29,844013
Pelophylax saharicus;2021;8;-1,900155;34,681962
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2016;7;6,643995;36,425807
Pelophylax saharicus;2017;6;-7,760353;33,544962
Pelophylax saharicus;2014;5;-9,391594;29,81023
Pelophylax saharicus;2017;5;-7,758179;33,545363
Pelophylax saharicus;2005;4;-3,5827;33,3369
Pelophylax saharicus;2022;1;6,662321;36,40102
Pelophylax saharicus;2008;5;8,340733;36,5053
Pelophylax saharicus;2008;2;-7,892989;31,666139
Pelophylax saharicus;1969;11;-10,9;28,28
Pelophylax saharicus;1984;4;-6,966667;32,55
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1982;4;-5,2663;35,09908
Pelophylax saharicus;1982;5;-5,81278;35,78472
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;2017;2;-9,92559;28,973042
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2014;5;-5,580287;30,186386
Pelophylax saharicus;2022;8;-6,133693;31,252356
Pelophylax saharicus;2022;1;6,663194;36,400695
Pelophylax saharicus;2018;3;-7,758694;33,546061
Pelophylax saharicus;2008;2;7,921722;34,398943
Pelophylax saharicus;2022;5;-8,008979;31,617142
Pelophylax saharicus;2013;7;-7,762914;31,35448
Pelophylax saharicus;2013;4;-5,97543;31,445709
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2016;5;-6,947592;30,823388
Pelophylax saharicus;2018;11;-7,23605;33,781681
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1982;6;-5,81278;35,78472
Pelophylax saharicus;1982;6;-6,04028;35,46556
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;2018;7;-9,580147;30,39091
Pelophylax saharicus;2017;6;-6,561183;34,116991
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2014;4;-9,587019;29,886476
Pelophylax saharicus;2016;4;-5,794877;31,372342
Pelophylax saharicus;2016;3;-5,854381;31,291806
Pelophylax saharicus;2018;6;-5,343382;33,131696
Pelophylax saharicus;2005;9;-6,718939;32,01537
Pelophylax saharicus;2019;5;-7,759552;33,545756
Pelophylax saharicus;2011;4;-8,841967;30,614731
Pelophylax saharicus;2019;6;-5,984945;31,443379
Pelophylax saharicus;2011;3;-10,330946;29,081371
Pelophylax saharicus;2019;5;-6,724197;32,018528
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1970;2;-5,6;31,45
Pelophylax saharicus;1970;5;-6,05;35,03
Pelophylax saharicus;2002;2;7,8795;33,8675
Pelophylax saharicus;1982;4;-5,2663;35,09908
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;2021;9;-2,044465;34,488723
Pelophylax saharicus;2018;3;-9,204991;30,055215
Pelophylax saharicus;1985;4;-6,715551;32,013298
Pelophylax saharicus;2014;3;-5,602655;31,42853
Pelophylax saharicus;2009;4;7,940873;34,323218
Pelophylax saharicus;2018;8;-7,758772;33,545803
Pelophylax saharicus;2010;3;-8,88516;29,555
Pelophylax saharicus;2014;3;-6,953262;30,831664
Pelophylax saharicus;2022;4;-4,722944;33,007596
Pelophylax saharicus;2007;4;-5,206183;35,022567
Pelophylax saharicus;2021;9;-2,044465;34,488723
Pelophylax saharicus;2018;1;-7,758436;33,545792
Pelophylax saharicus;1970;5;-6,05;35,03
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;9;-13,206667;27,1395
Pelophylax saharicus;2012;3;-4,014752;31,053398
Pelophylax saharicus;2014;6;-5,744455;32,409586
Pelophylax saharicus;2019;10;-10,946382;28,527824
Pelophylax saharicus;2019;11;-8,003227;31,641337
Pelophylax saharicus;2013;5;-10,1296;28,813168
Pelophylax saharicus;2014;4;-7,973971;29,737099
Pelophylax saharicus;2019;7;-8,045302;31,186295
Pelophylax saharicus;2018;4;-7,555663;31,536355
Pelophylax saharicus;2015;3;-9,561912;30,55293
Pelophylax saharicus;2019;5;-8,09957;31,137044
Pelophylax saharicus;2020;2;-7,760095;33,545184
Pelophylax saharicus;2019;7;6,715827;36,55237
Pelophylax saharicus;2018;9;-7,760153;33,544845
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;11;-10,9;28,28
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1982;5;-5,81278;35,78472
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1971;9;7,882;33,878
Pelophylax saharicus;2018;4;-7,764487;33,543736
Pelophylax saharicus;2006;5;-7,851877;31,208617
